Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF,Non-FT,Non-FT%,Team,POS
Cam Whitmore,579,180,33,17,30,0.454,0.679,79,46,47,880,76,133,0.72,64,503,0.8687392055267703,HOU,"PF,SF"
Cameron Payne,578,117,205,11,42,0.432,0.866,104,66,78,1304,58,104,3.11,126,520,0.8996539792387543,PHI,PG
Precious Achiuwa,565,487,97,68,46,0.501,0.616,26,83,74,1624,69,209,1.17,143,496,0.8778761061946903,NYK,"C,PF"
Lonnie Walker IV,565,127,74,20,32,0.423,0.763,104,51,58,1011,45,104,1.45,71,520,0.9203539823008849,BKN,"SF,SG"
Miles McBride,562,100,114,7,50,0.452,0.86,109,30,68,1328,43,96,3.8,108,519,0.9234875444839857,NYK,PG
Al Horford,562,413,168,62,38,0.511,0.867,108,48,65,1740,26,106,3.5,93,536,0.9537366548042705,BOS,"PF,C"
Cason Wallace,561,187,120,37,76,0.491,0.784,98,45,82,1692,29,119,2.67,129,532,0.948306595365419,OKC,"PG,SG"
Onyeka Okongwu,561,376,74,60,26,0.611,0.793,23,45,55,1405,92,200,1.64,162,469,0.8360071301247772,ATL,"C,PF"
Dalano Banton,557,178,127,20,33,0.404,0.783,59,77,54,1047,94,143,1.65,64,463,0.8312387791741472,POR,"PG,SG"
Ausar Thompson,556,402,120,59,68,0.483,0.597,21,84,63,1583,71,211,1.43,175,485,0.8723021582733813,DET,"PF,SF,SG"
Jakob Poeltl,555,429,127,76,35,0.656,0.551,0,77,50,1319,59,248,1.65,149,496,0.8936936936936937,TOR,C
Aaron Wiggins,542,186,86,19,56,0.562,0.789,62,56,78,1228,56,150,1.54,91,486,0.8966789667896679,OKC,"SG,SF"
Trayce Jackson-Davis,540,341,82,76,29,0.702,0.561,0,49,68,1130,74,233,1.67,108,466,0.8629629629629629,GSW,"C,PF"
Chris Paul,533,225,393,6,70,0.441,0.827,78,76,58,1531,43,128,5.17,108,490,0.9193245778611632,GSW,PG
Moses Moody,533,196,57,24,42,0.462,0.785,72,44,66,1156,73,122,1.3,90,460,0.8630393996247655,GSW,"SF,SG"
Peyton Watson,532,258,86,88,42,0.465,0.67,45,58,80,1488,71,163,1.48,143,461,0.8665413533834586,DEN,"PF,SF,SG"
Bilal Coulibaly,532,256,110,48,57,0.435,0.702,64,87,63,1715,92,124,1.26,137,440,0.8270676691729323,WAS,"SF,SG"
Jaden Hardy,530,131,109,4,22,0.407,0.776,81,62,73,989,59,114,1.76,80,471,0.8886792452830189,DAL,"PG,SG"
Toumani Camara,527,343,87,33,66,0.45,0.758,58,84,70,1739,75,139,1.04,174,452,0.857685009487666,POR,"PF,SF"
LaMelo Ball,526,113,176,4,40,0.433,0.865,70,83,22,711,90,113,2.12,79,436,0.8288973384030418,CHA,"PG,SG"
Jordan Hawkins,524,148,70,7,19,0.382,0.838,109,40,67,1160,67,65,1.75,72,457,0.8721374045801527,NOR,SG
Vince Williams Jr.,521,290,175,34,47,0.446,0.8,79,92,52,1436,104,90,1.9,135,417,0.800383877159309,MEM,"PG,SF,SG"
Walker Kessler,518,481,60,154,30,0.654,0.602,4,66,64,1493,56,225,0.91,132,462,0.8918918918918919,UTH,C
Talen Horton-Tucker,516,121,177,19,45,0.396,0.807,60,65,51,1009,88,124,2.72,94,428,0.8294573643410853,UTH,"PG,SF,SG"
Dario Saric,515,283,144,10,31,0.467,0.85,74,78,64,1098,79,107,1.85,112,436,0.8466019417475729,GSW,"PF,C"
Aaron Holiday,514,123,140,6,42,0.446,0.921,84,53,78,1269,58,102,2.64,125,456,0.8871595330739299,HOU,"PG,SG"
Shaedon Sharpe,510,160,94,12,28,0.406,0.824,60,72,32,1059,98,116,1.31,88,412,0.807843137254902,POR,"SF,SG"
Gradey Dick,510,132,68,2,34,0.425,0.863,88,50,60,1268,44,101,1.36,87,466,0.9137254901960784,TOR,"SF,SG"
Jeff Green,509,178,70,31,16,0.456,0.819,53,46,78,1307,122,114,1.52,100,387,0.7603143418467584,HOU,"C,PF"
Kyle Anderson,506,273,331,47,71,0.46,0.708,11,91,79,1782,97,188,3.64,128,409,0.808300395256917,MIN,"SF,PF"
Julian Champagnie,504,206,103,42,48,0.408,0.815,101,57,74,1468,75,63,1.81,77,429,0.8511904761904762,SAS,"PF,SF,SG"
Isaiah Stewart,503,305,73,38,17,0.487,0.753,67,66,46,1423,64,119,1.11,99,439,0.8727634194831014,DET,"PF,C"
Gordon Hayward,500,181,158,13,40,0.464,0.742,37,66,51,1245,89,150,2.39,67,411,0.822,OKC,SF
Cedi Osman,489,180,119,11,36,0.479,0.673,86,47,72,1269,35,98,2.53,107,454,0.9284253578732107,SAS,"PF,SF"
Zach LaVine,487,129,98,8,21,0.452,0.854,59,52,25,872,88,111,1.88,57,399,0.8193018480492813,CHI,"SG,SF"
Kyle Lowry,487,194,253,21,59,0.432,0.84,98,85,60,1690,63,65,2.98,146,424,0.8706365503080082,PHI,PG
Sam Merrill,485,120,108,4,19,0.402,0.929,143,19,61,1069,26,15,5.68,72,459,0.9463917525773196,CLE,SG
Kevin Love,485,338,115,10,18,0.44,0.787,84,48,55,924,85,74,2.4,97,400,0.8247422680412371,MIA,"PF,C"
Dereck Lively II,483,378,60,77,36,0.747,0.506,0,50,55,1294,41,221,1.2,144,442,0.9151138716356108,DAL,C
Draymond Green,475,398,332,47,55,0.497,0.73,51,135,55,1490,54,134,2.46,166,421,0.8863157894736842,GSW,"PF,C"
Josh Green,469,185,130,9,47,0.479,0.684,72,60,57,1505,39,107,2.17,107,430,0.9168443496801706,DAL,"SG,SF"
Naji Marshall,466,240,128,12,49,0.463,0.791,58,65,66,1257,68,112,1.97,91,398,0.8540772532188842,NOR,"PF,SF,SG"
