Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF,Non-FT,Non-FT%,Team,POS
Amir Coffey,463,148,76,14,41,0.472,0.859,70,33,70,1460,61,96,2.3,102,402,0.8682505399568035,LAC,"SF,SG"
Ochai Agbaji,455,216,83,44,47,0.411,0.661,62,64,78,1642,37,116,1.3,117,418,0.9186813186813186,TOR,"PG,SF,SG"
Patrick Beverley,451,239,212,31,43,0.417,0.822,61,65,73,1462,74,97,3.26,128,377,0.835920177383592,MIL,PG
James Wiseman,446,336,54,39,12,0.613,0.706,0,66,63,1091,72,187,0.82,141,374,0.8385650224215246,DET,C
Trendon Watford,432,194,81,19,23,0.527,0.794,27,63,63,856,77,137,1.29,106,355,0.8217592592592593,BKN,PF
Patrick Williams,429,166,66,33,40,0.443,0.788,59,57,43,1174,52,100,1.16,87,377,0.8787878787878788,CHI,"PF,SF"
Luke Kennard,429,113,136,2,20,0.448,0.889,107,54,39,999,40,34,2.52,39,389,0.9067599067599068,MEM,"PG,SG"
Pat Connaughton,428,239,161,19,40,0.435,0.759,82,49,76,1676,44,69,3.29,99,384,0.897196261682243,MIL,"SG,SF"
Dante Exum,428,149,157,5,22,0.533,0.779,53,49,55,1088,53,108,3.2,85,375,0.8761682242990654,DAL,"PG,SG"
Josh Richardson,425,121,105,14,24,0.444,0.944,66,36,43,1103,51,88,2.92,76,374,0.88,MIA,"PG,SF,SG"
David Roddy,425,211,80,11,27,0.403,0.691,48,57,65,1177,47,117,1.4,72,378,0.8894117647058823,PHO,"PF,SF"
Vasilije Micic,422,88,262,7,31,0.43,0.813,43,99,60,1176,61,116,2.65,68,361,0.8554502369668247,CHA,"PG,SG"
De'Anthony Melton,421,141,114,16,60,0.386,0.835,77,39,38,1023,66,62,2.92,84,355,0.8432304038004751,PHI,"PG,SG"
Ziaire Williams,420,180,75,9,36,0.397,0.827,58,66,51,1038,62,92,1.14,85,358,0.8523809523809524,MEM,"SF,SG"
Trey Lyles,419,257,72,19,17,0.446,0.7,84,38,58,1158,49,59,1.89,86,370,0.883054892601432,SAC,"PF,C"
Day'Ron Sharpe,415,389,85,44,24,0.571,0.61,4,70,61,921,75,164,1.21,131,340,0.8192771084337349,BKN,C
Haywood Highsmith,405,210,70,30,53,0.465,0.639,76,34,66,1366,23,77,2.06,117,382,0.9432098765432099,MIA,"PF,SF"
Jose Alvarado,397,128,117,15,59,0.412,0.673,78,40,56,1028,35,64,2.93,89,362,0.9118387909319899,NOR,PG
Jonathan Isaac,393,260,30,70,43,0.511,0.72,42,27,58,914,59,104,1.11,64,334,0.8498727735368957,ORL,"SF,PF"
Isaiah Jackson,383,238,50,61,34,0.665,0.716,0,39,58,771,73,155,1.28,137,310,0.8093994778067886,IND,"C,PF"
Tre Mann,382,149,165,3,51,0.459,0.763,47,65,41,987,45,98,2.54,48,337,0.8821989528795812,CHA,"SG,PG"
Malachi Flynn,380,114,130,8,38,0.419,0.732,56,63,69,877,52,80,2.06,66,328,0.8631578947368421,DET,PG
Davion Mitchell,379,95,134,3,17,0.452,0.714,57,43,72,1101,30,89,3.12,85,349,0.920844327176781,SAC,"SG,PG"
Jake LaRavia,379,128,58,12,29,0.389,0.826,53,45,35,806,90,65,1.29,69,289,0.762532981530343,MEM,"PF,SF"
Drew Eubanks,379,322,63,61,27,0.601,0.774,3,61,75,1169,72,149,1.03,115,307,0.8100263852242744,PHO,"PF,C"
Daniel Theis,376,244,61,51,21,0.532,0.76,26,42,60,1015,38,130,1.45,127,338,0.898936170212766,LAC,"C,PF"
Kris Murray,376,224,80,21,53,0.396,0.661,49,55,62,1348,37,96,1.45,92,339,0.901595744680851,POR,"PF,SF"
Gary Harris,372,90,87,14,49,0.441,0.756,76,31,54,1297,34,55,2.81,91,338,0.9086021505376344,ORL,"SG,SF"
Dennis Smith Jr.,369,164,203,12,68,0.435,0.741,32,68,56,1059,43,115,2.99,121,326,0.8834688346883469,BKN,"PG,SG"
Jordan Goodwin,368,253,155,18,48,0.369,0.746,42,56,57,1056,44,99,2.77,76,324,0.8804347826086957,MEM,"PG,SG"
Jordan Nwora,364,149,62,13,26,0.462,0.83,44,53,52,711,44,94,1.17,48,320,0.8791208791208791,TOR,"PF,SF"
Quentin Grimes,359,100,66,7,35,0.372,0.756,81,28,51,1025,34,41,2.36,75,325,0.9052924791086351,DET,"SF,SG"
Kris Dunn,357,189,254,28,68,0.47,0.688,41,79,66,1249,22,106,3.22,135,335,0.938375350140056,UTH,"PG,SG"
Jevon Carter,357,60,94,16,37,0.378,0.571,77,36,72,1004,4,61,2.61,71,353,0.988795518207283,CHI,"PG,SG"
Matisse Thybulle,354,136,90,49,113,0.398,0.759,80,40,65,1487,22,46,2.25,93,332,0.9378531073446328,POR,"SG,SF"
Dyson Daniels,354,236,164,25,85,0.447,0.642,42,59,61,1358,34,97,2.78,101,320,0.903954802259887,NOR,"PG,SG"
Nikola Jovic,352,192,90,14,25,0.452,0.702,65,42,46,896,33,62,2.14,82,319,0.90625,MIA,"C,PF,SF"
Doug McDermott,351,59,70,2,16,0.433,0.579,94,28,64,904,11,29,2.5,64,340,0.9686609686609686,IND,"SF,PF"
Larry Nance Jr.,350,307,113,19,61,0.573,0.771,27,49,61,1216,47,111,2.31,98,303,0.8657142857142858,NOR,"PF,C"
Christian Wood,347,254,49,33,16,0.466,0.702,35,50,50,872,66,88,0.98,72,281,0.8097982708933718,LAL,"PF,C"
Markelle Fultz,335,138,120,15,42,0.472,0.697,4,50,43,910,23,150,2.4,65,312,0.9313432835820895,ORL,"PG,SG"
Kevon Looney,334,419,133,29,28,0.597,0.675,0,50,74,1194,56,139,2.66,155,278,0.8323353293413174,GSW,"PF,C"
Luke Kornet,334,261,67,61,23,0.7,0.907,1,21,63,983,49,141,3.19,77,285,0.8532934131736527,BOS,C
Chimezie Metu,332,194,46,16,43,0.504,0.906,28,52,51,859,58,95,0.88,71,274,0.8253012048192772,DET,"PF,C"
Landry Shamet,327,62,54,10,25,0.431,0.826,53,30,46,726,38,65,1.8,76,289,0.8837920489296636,WAS,"PG,SG"
Kenrich Williams,325,209,93,9,38,0.468,0.5,56,32,69,1029,7,75,2.91,101,318,0.9784615384615385,OKC,"SF,PF"
Garrison Mathews,325,92,37,8,20,0.456,0.81,85,19,66,992,34,18,1.95,115,291,0.8953846153846153,ATL,"SG,SF"
Chris Boucher,322,207,23,24,14,0.507,0.772,31,28,50,705,71,79,0.82,68,251,0.7795031055900621,TOR,"C,PF"
Nicolas Batum,320,248,128,38,48,0.453,0.714,73,40,60,1529,15,43,3.2,109,305,0.953125,PHI,"PF,SF,SG"
Marcus Morris Sr.,316,134,36,13,15,0.439,0.818,48,30,49,817,36,68,1.2,74,280,0.8860759493670886,CLE,"PF,C,SF"
Anthony Black,316,139,91,21,35,0.466,0.613,37,56,69,1164,49,78,1.63,110,267,0.8449367088607594,ORL,"PG,SG"
Jae Crowder,312,161,66,9,38,0.422,0.722,58,23,50,1156,26,56,2.87,74,286,0.9166666666666666,MIL,"SF,PF"
Goga Bitadze,311,286,79,72,32,0.603,0.655,2,44,62,957,57,124,1.8,107,254,0.8167202572347267,ORL,C
Keon Ellis,310,124,85,29,51,0.461,0.743,70,37,57,978,26,37,2.3,112,284,0.9161290322580645,SAC,"PG,SF,SG"
Jaxson Hayes,303,211,33,29,34,0.72,0.622,0,43,70,877,51,126,0.77,123,252,0.8316831683168316,LAL,"C,PF"
Torrey Craig,303,217,58,21,30,0.43,0.75,60,32,53,1049,27,48,1.81,110,276,0.9108910891089109,CHI,"PF,SF"
Nick Smith Jr.,302,72,59,7,10,0.391,0.867,63,39,51,729,13,50,1.51,55,289,0.956953642384106,CHA,"PG,SG"
Bryce McGowens,302,102,51,10,21,0.439,0.777,34,30,59,882,66,67,1.7,74,236,0.7814569536423841,CHA,"SF,SG"
Joe Ingles,296,142,203,5,43,0.436,0.824,70,67,68,1169,28,29,3.03,88,268,0.9054054054054054,ORL,"PF,SF"
Taylor Hendricks,292,185,32,30,28,0.45,0.793,53,27,40,856,23,55,1.19,77,269,0.9212328767123288,UTH,PF
Dean Wade,291,218,43,25,40,0.414,0.769,79,20,54,1108,20,17,2.15,93,271,0.9312714776632303,CLE,"PF,SF"
Davis Bertans,290,61,35,12,26,0.393,0.909,76,18,44,674,30,16,1.94,56,260,0.896551724137931,CHA,"PF,C"
Marcus Smart,289,53,86,5,41,0.43,0.768,42,62,20,605,43,60,1.39,53,246,0.8512110726643599,MEM,"PG,SG"
Craig Porter Jr.,285,109,118,15,21,0.509,0.732,12,45,51,649,41,104,2.62,40,244,0.856140350877193,CLE,"PG,SG"
Xavier Tillman Sr.,284,211,77,44,51,0.434,0.44,20,34,54,974,22,101,2.26,75,262,0.9225352112676056,BOS,"PF,C"
Max Christie,284,142,60,17,20,0.427,0.783,42,35,67,944,36,61,1.71,57,248,0.8732394366197183,LAL,"SF,SG"
Bruno Fernando,282,193,46,28,25,0.583,0.667,0,44,45,682,64,109,1.05,107,218,0.7730496453900709,ATL,C
Danilo Gallinari,280,108,55,6,14,0.437,0.857,30,23,49,629,84,53,2.39,50,196,0.7,MIL,"SF,PF"
Josh Okogie,277,154,64,24,48,0.418,0.745,29,36,60,960,76,57,1.78,68,201,0.7256317689530686,PHO,"SG,SF"
Jaylin Williams,276,234,110,27,28,0.417,0.805,53,34,69,897,33,42,3.24,98,243,0.8804347826086957,OKC,"C,PF"
Jock Landale,274,172,65,33,20,0.515,0.8,10,31,56,764,52,96,2.1,74,222,0.8102189781021898,HOU,C
Lamar Stevens,272,127,28,22,23,0.45,0.778,14,24,38,559,42,94,1.17,45,230,0.8455882352941176,MEM,"PF,SF"
Scotty Pippen Jr.,271,67,98,10,36,0.493,0.746,30,56,21,527,41,70,1.75,60,230,0.8487084870848709,MEM,"PG,SG"
Blake Wesley,268,94,166,9,29,0.474,0.667,12,55,61,876,52,90,3.02,89,216,0.8059701492537313,SAS,"PG,SG"
Jae'Sean Tate,265,197,64,15,42,0.472,0.667,23,37,65,1031,26,85,1.73,137,239,0.9018867924528302,HOU,"SF,PF"
Cam Reddish,260,99,48,14,47,0.389,0.759,37,31,48,984,41,54,1.55,64,219,0.8423076923076923,LAL,"PF,SF,SG"
Bones Hyland,256,55,93,4,26,0.387,0.783,44,44,37,540,18,53,2.11,51,238,0.9296875,LAC,"PG,SG"
Mo Bamba,253,238,41,60,22,0.49,0.68,25,39,57,740,34,72,1.05,101,219,0.8656126482213439,PHI,C
Caleb Houstan,253,84,29,4,15,0.388,0.808,72,16,59,815,21,8,1.81,61,232,0.9169960474308301,ORL,"PF,SF,SG"
Ben Sheppard,252,89,53,2,33,0.393,0.885,49,15,57,814,23,41,3.53,88,229,0.9087301587301587,IND,"SF,SG"
AJ Green,252,64,30,4,9,0.424,0.895,69,12,56,614,17,14,2.5,49,235,0.9325396825396826,MIL,"PG,SG"
Jared Butler,251,58,126,8,29,0.488,0.861,24,50,40,566,31,74,2.52,58,220,0.8764940239043825,WAS,"PG,SG"
Troy Brown Jr.,247,144,60,3,24,0.372,0.865,47,30,59,827,32,37,2.0,42,215,0.8704453441295547,DET,"PF,SF"
Mason Plumlee,244,234,55,17,14,0.569,0.707,0,36,46,674,70,87,1.53,68,174,0.7131147540983607,LAC,C
Mark Williams,242,184,22,20,16,0.649,0.719,0,17,19,508,46,98,1.29,50,196,0.8099173553719008,CHA,C
Brice Sensabaugh,241,102,55,6,13,0.39,0.902,34,47,32,584,37,51,1.17,43,204,0.8464730290456431,UTH,SF
Gary Payton II,240,113,48,18,39,0.563,0.609,20,27,44,680,14,83,1.78,77,226,0.9416666666666667,GSW,"PG,SF,SG"
John Konchar,235,257,110,51,51,0.423,0.84,38,46,55,1173,21,50,2.39,76,214,0.9106382978723404,MEM,"SF,SG"
Justin Holiday,234,71,67,9,36,0.454,0.75,55,14,58,862,3,33,4.79,69,231,0.9871794871794872,DEN,"SG,SF"
Chris Duarte,230,106,44,8,28,0.381,0.788,44,26,59,719,26,36,1.69,80,204,0.8869565217391304,SAC,"SF,SG"
Julian Strawther,227,61,47,7,17,0.369,0.71,41,23,50,545,22,41,2.04,54,205,0.9030837004405287,DEN,"SF,SG"
Ja Morant,226,50,73,5,7,0.471,0.813,14,27,9,318,52,66,2.7,19,174,0.7699115044247787,MEM,PG
Seth Curry,226,68,44,6,22,0.392,0.903,38,21,44,615,28,42,2.1,39,198,0.8761061946902655,CHA,"PG,SG"
Sasha Vezenkov,225,96,19,7,20,0.44,0.8,45,12,42,511,12,39,1.58,42,213,0.9466666666666667,SAC,PF
KJ Martin Jr.,224,131,51,12,22,0.536,0.537,8,32,60,746,22,89,1.59,100,202,0.9017857142857143,PHI,SF
Bol Bol,223,137,17,25,10,0.616,0.79,22,19,43,469,15,71,0.89,42,208,0.9327354260089686,PHO,"PF,C"
Omer Yurtseven,222,208,29,18,8,0.538,0.679,5,37,48,545,19,94,0.78,52,203,0.9144144144144144,UTH,C
Evan Fournier,220,58,48,7,29,0.358,0.806,33,21,32,580,29,46,2.29,48,191,0.8681818181818182,DET,"SG,SF"
Thomas Bryant,217,141,23,16,10,0.577,0.872,4,21,38,441,41,82,1.1,46,176,0.8110599078341014,MIA,C
Shake Milton,216,75,60,6,19,0.405,0.816,18,31,48,581,40,61,1.94,54,176,0.8148148148148148,NYK,"PG,SG"
Tari Eason,215,153,27,19,31,0.466,0.636,18,20,22,480,21,70,1.35,51,194,0.9023255813953488,HOU,"PF,SF"
Jalen Wilson,214,131,45,4,11,0.425,0.826,24,19,43,664,38,52,2.37,48,176,0.822429906542056,BKN,"PF,SF"
MarJon Beauchamp,211,99,31,7,13,0.488,0.679,30,27,48,608,19,51,1.15,54,192,0.909952606635071,MIL,"SF,SG"
Cody Martin,211,109,104,18,32,0.381,0.606,27,44,28,753,20,55,2.36,48,191,0.9052132701421801,CHA,"SG,SF"
Delon Wright,210,86,119,11,54,0.394,0.822,25,14,47,742,37,49,8.5,32,173,0.8238095238095238,MIA,"PG,SG"
Dwight Powell,208,214,84,20,26,0.679,0.708,1,32,63,836,63,71,2.63,113,145,0.6971153846153846,DAL,C
Eugene Omoruyi,207,85,35,5,27,0.485,0.653,13,21,43,393,32,68,1.67,62,175,0.8454106280193237,WAS,"C,PF,SF"
Oshae Brissett,201,160,44,8,19,0.444,0.602,15,20,55,630,50,53,2.2,54,151,0.7512437810945274,BOS,"SF,PF"
Richaun Holmes,199,182,25,19,11,0.558,0.723,1,24,40,554,34,81,1.04,74,165,0.8291457286432161,WAS,"PF,C"
JT Thor,199,146,29,27,11,0.437,0.55,28,15,63,781,11,52,1.93,60,188,0.9447236180904522,CHA,PF
Keita Bates-Diop,197,110,38,22,25,0.434,0.762,21,15,53,665,32,51,2.53,35,165,0.8375634517766497,BKN,"SF,PF"
Jordan McLaughlin,195,72,110,7,35,0.483,0.722,42,19,56,626,13,28,5.79,31,182,0.9333333333333333,MIN,PG
Derrick Rose,191,45,78,2,8,0.461,0.889,15,31,24,399,24,61,2.52,21,167,0.8743455497382199,MEM,PG
Maxi Kleber,191,143,68,30,17,0.432,0.702,32,28,43,871,33,31,2.43,79,158,0.8272251308900523,DAL,"PF,C"
Sandro Mamukelashvili,190,147,49,12,7,0.471,0.735,19,19,46,451,25,54,2.58,35,165,0.868421052631579,SAS,C
Anthony Gill,189,94,34,11,13,0.469,0.806,10,23,50,466,29,65,1.48,48,160,0.8465608465608465,WAS,"C,PF,SF"
Zeke Nnaji,186,126,32,38,15,0.463,0.677,6,27,58,576,42,63,1.19,81,144,0.7741935483870968,DEN,"PF,C"
JaVale McGee,185,126,17,20,14,0.599,0.578,1,34,46,339,26,78,0.5,46,159,0.8594594594594595,SAC,C
Dalen Terry,180,113,81,18,27,0.44,0.581,17,32,59,681,25,52,2.53,81,155,0.8611111111111112,CHI,"PG,SF,SG"
Bismack Biyombo,174,209,53,37,11,0.565,0.482,0,42,40,792,26,74,1.26,89,148,0.8505747126436781,OKC,C
Ricky Council IV,173,46,16,1,8,0.482,0.747,12,5,32,289,53,42,3.2,17,120,0.6936416184971098,PHI,SG
Mitchell Robinson,173,263,18,35,37,0.575,0.409,0,25,31,768,27,73,0.72,55,146,0.8439306358381503,NYK,C
Jacob Gilyard,173,46,137,5,33,0.4,1.0,51,30,41,698,2,9,4.57,39,171,0.9884393063583815,BKN,PG
Trey Jemison,171,134,27,28,12,0.552,0.84,0,34,25,574,21,75,0.79,69,150,0.8771929824561403,MEM,C
Jalen McDaniels,169,79,37,6,19,0.344,0.73,12,30,50,538,27,53,1.23,52,142,0.8402366863905325,TOR,"PF,SF"
Patrick Baldwin Jr.,168,123,29,15,18,0.381,0.679,31,19,38,493,19,28,1.53,56,149,0.8869047619047619,WAS,"PF,SF"
Brandon Boston Jr.,167,52,13,8,11,0.404,0.697,14,24,32,345,23,51,0.54,40,144,0.8622754491017964,LAC,"PG,SF,SG"
Lester Quinones,164,72,36,2,6,0.397,0.69,32,17,37,394,20,24,2.12,44,144,0.8780487804878049,GSW,"PG,SG"
Monte Morris,164,57,69,9,19,0.405,0.684,27,7,33,476,13,35,9.86,14,151,0.9207317073170732,MIN,PG
Jaden Springer,163,78,44,15,36,0.399,0.833,10,34,49,507,35,49,1.29,66,128,0.7852760736196319,BOS,"PG,SG"
Svi Mykhailiuk,162,51,35,1,11,0.416,0.667,42,12,41,413,6,15,2.92,19,156,0.9629629629629629,BOS,"SF,SG"
Tristan Thompson,161,174,51,14,12,0.608,0.289,0,29,49,549,15,73,1.76,59,146,0.906832298136646,CLE,"PF,C"
Mike Muscala,157,125,36,13,9,0.359,0.68,28,22,53,600,17,28,1.64,52,140,0.89171974522293,OKC,"C,PF"
Skylar Mays,155,43,85,4,21,0.396,0.765,16,20,38,433,13,47,4.25,26,142,0.9161290322580645,LAL,"PG,SG"
Rayan Rupert,155,92,62,3,12,0.335,0.76,28,31,39,633,19,26,2.0,56,136,0.8774193548387097,POR,"SF,SG"
Neemias Queta,154,122,20,21,13,0.644,0.714,0,13,28,333,20,67,1.54,50,134,0.8701298701298701,BOS,C
Javon Freeman-Liberty,153,70,40,4,10,0.444,0.917,10,25,22,403,33,45,1.6,28,120,0.7843137254901961,TOR,PG
Nassir Little,152,75,21,10,10,0.46,0.85,21,14,45,458,17,36,1.5,39,135,0.8881578947368421,PHO,"PF,SF"
Matt Ryan,152,40,18,1,6,0.434,0.929,41,19,28,390,13,8,0.95,32,139,0.9144736842105263,NOR,"SF,SG"
Johnny Davis,152,72,32,10,18,0.403,0.583,14,13,50,613,14,48,2.46,57,138,0.9078947368421053,WAS,"SF,SG"
Jarred Vanderbilt,150,138,36,5,36,0.518,0.667,8,28,29,581,24,51,1.29,43,126,0.84,LAL,PF
Aleksej Pokusevski,146,89,35,13,15,0.405,0.732,18,19,28,405,30,31,1.84,22,116,0.7945205479452054,CHA,"C,PF"
Johnny Juzang,144,36,23,2,4,0.464,0.714,32,13,20,372,10,19,1.77,29,134,0.9305555555555556,UTH,"SF,SG"
Dominick Barlow,144,113,36,14,12,0.496,0.691,3,9,33,420,29,53,4.0,47,115,0.7986111111111112,SAS,"PF,SF"
DeAndre Jordan,142,157,26,16,6,0.624,0.491,0,23,36,396,26,58,1.13,56,116,0.8169014084507042,DEN,C
Thaddeus Young,137,103,57,5,23,0.602,0.4,1,15,33,439,6,64,3.8,49,131,0.9562043795620438,PHO,"C,PF"
Lindy Waters III,137,40,24,7,5,0.471,1.0,37,7,38,280,2,12,3.43,23,135,0.9854014598540146,OKC,"PF,SF,SG"
A.J. Lawson,136,50,20,3,10,0.446,0.652,13,14,42,311,15,41,1.43,22,121,0.8897058823529411,DAL,"PF,SF,SG"
Vit Krejci,135,52,50,6,13,0.49,0.833,28,20,22,541,5,23,2.5,48,130,0.9629629629629629,ATL,"PG,SG"
Noah Clowney,133,81,18,16,8,0.538,0.7,12,15,23,370,21,38,1.2,25,112,0.8421052631578947,BKN,PF
Ousmane Dieng,133,51,37,5,8,0.422,0.875,21,19,33,365,14,28,1.95,22,119,0.8947368421052632,OKC,"PF,SF"
Patty Mills,127,35,34,1,20,0.351,1.0,24,16,32,415,11,22,2.13,32,116,0.9133858267716536,MIA,"PG,SG"
Robert Covington,127,97,24,18,39,0.439,0.846,19,11,29,488,22,24,2.18,56,105,0.8267716535433071,PHI,"PF,SF"
Stanley Umude,127,51,11,7,8,0.441,0.906,24,14,24,307,29,13,0.79,40,98,0.7716535433070866,DET,SG
Andre Jackson Jr.,125,113,50,6,16,0.5,0.727,17,28,57,572,8,33,1.79,92,117,0.936,MIL,"PG,SG"
Olivier-Maxence Prosper,121,79,22,4,7,0.385,0.683,13,8,40,336,28,27,2.75,20,93,0.768595041322314,DAL,"PF,SF"
Jarace Walker,120,63,40,11,15,0.409,0.889,22,17,33,340,8,23,2.35,29,112,0.9333333333333333,IND,PF
Alex Len,120,128,50,33,11,0.617,0.588,0,27,48,444,20,50,1.85,66,100,0.8333333333333334,SAC,C
Yuta Watanabe,117,54,15,7,12,0.353,0.588,25,19,34,464,10,16,0.79,39,107,0.9145299145299145,MEM,"SF,PF"
Jontay Porter,115,82,60,20,20,0.385,0.833,20,21,26,360,15,20,2.86,35,100,0.8695652173913043,TOR,"C,PF"
Jeremiah Robinson-Earl,115,76,21,4,10,0.474,0.75,13,16,39,334,12,32,1.31,24,103,0.8956521739130435,NOR,"C,PF"
Devonte' Graham,114,36,49,2,9,0.352,0.813,25,17,23,313,13,13,2.88,14,101,0.8859649122807017,SAS,"PG,SG"
Javonte Green,110,67,5,8,10,0.6,0.769,10,7,9,230,10,35,0.71,19,100,0.9090909090909091,CHI,"SF,SG"
Wesley Matthews,110,53,23,11,16,0.351,0.75,24,8,36,413,18,10,2.88,43,92,0.8363636363636363,ATL,"SG,SF"
Damian Jones,107,62,15,13,7,0.597,0.857,3,13,39,270,18,40,1.15,27,89,0.8317757009345794,CLE,C
Chuma Okeke,107,80,20,7,9,0.357,0.571,23,16,47,432,4,17,1.25,19,103,0.9626168224299065,ORL,"PF,SF"
Tosan Evbuomwan,101,60,16,5,6,0.507,0.68,12,9,17,367,17,24,1.78,23,84,0.8316831683168316,DET,"PF,SF"
Luka Garza,99,31,4,1,4,0.48,0.72,9,6,25,122,18,27,0.67,24,81,0.8181818181818182,MIN,C
Orlando Robinson,99,84,34,8,7,0.5,0.76,8,18,36,304,19,28,1.89,35,80,0.8080808080808081,MIA,C
Jamal Cain,97,37,10,5,10,0.43,0.783,11,8,26,259,18,23,1.25,22,79,0.8144329896907216,MIA,"PF,SF,SG"
Kenneth Lofton Jr.,96,38,33,5,6,0.462,0.654,7,14,21,198,17,29,2.36,24,79,0.8229166666666666,UTH,"C,PF"
Reggie Bullock Jr.,96,73,15,5,12,0.415,1.0,27,10,44,417,1,7,1.5,29,95,0.9895833333333334,HOU,"PF,SF,SG"
Kessler Edwards,93,42,15,4,10,0.415,0.556,20,4,54,275,5,14,3.75,26,88,0.946236559139785,SAC,"SF,SG"
Jericho Sims,92,147,25,19,8,0.691,0.667,0,16,45,585,16,38,1.56,45,76,0.8260869565217391,NYK,"C,PF"
Ben Simmons,92,119,86,9,12,0.581,0.4,0,27,15,359,6,43,3.19,36,86,0.9347826086956522,BKN,"PF,PG,SG"
Julian Phillips,89,36,13,7,7,0.416,0.684,12,10,40,323,13,20,1.3,40,76,0.8539325842696629,CHI,SF
Justin Champagnie,89,53,19,9,10,0.41,0.8,13,10,15,235,12,19,1.9,14,77,0.8651685393258427,WAS,"SF,SG"
Kobe Brown,89,62,25,6,12,0.411,0.5,14,9,44,394,1,23,2.78,49,88,0.9887640449438202,LAC,"PF,SF"
Kira Lewis Jr.,89,26,37,2,9,0.37,0.85,4,14,28,264,17,30,2.64,13,72,0.8089887640449438,UTH,PG
Garrett Temple,88,45,28,3,12,0.372,0.818,12,14,27,289,18,17,2.0,28,70,0.7954545454545454,TOR,"PG,SG"
Collin Gillespie,87,21,27,0,13,0.464,0.667,15,14,24,225,8,17,1.93,24,79,0.9080459770114943,DEN,PG
Tristan Vukcevic,85,36,13,7,5,0.433,0.773,10,10,10,153,17,19,1.3,28,68,0.8,WAS,"C,PF"
Jared Rhoden,83,33,14,13,3,0.5,0.625,12,7,17,245,5,21,2.0,28,78,0.9397590361445783,DET,"PF,SF,SG"
Trent Forrest,83,51,92,3,11,0.378,0.765,2,20,38,414,13,32,4.6,25,70,0.8433734939759037,ATL,"PG,SG"
Gui Santos,82,49,14,2,4,0.509,0.941,10,7,23,192,16,18,2.0,23,66,0.8048780487804879,GSW,"PF,SF"
Jaylen Nowell,81,24,19,2,4,0.436,0.778,6,7,13,214,7,28,2.71,15,74,0.9135802469135802,DET,SG
Kobe Bufkin,81,33,27,5,7,0.37,0.5,9,10,17,196,4,25,2.7,20,77,0.9506172839506173,ATL,"PG,SG"
Onuralp Bitim,80,32,13,2,3,0.381,0.8,12,10,23,268,4,20,1.3,24,76,0.95,CHI,"SF,SG"
Ashton Hagans,80,45,54,9,11,0.409,0.824,8,30,19,316,14,21,1.8,40,66,0.825,POR,"PG,SG"
Cody Zeller,76,112,39,5,9,0.419,0.605,1,16,43,320,23,25,2.44,45,53,0.6973684210526315,NOR,C
Moses Brown,75,86,7,7,5,0.508,0.29,0,11,22,200,9,33,0.64,27,66,0.88,POR,C
Jules Bernard,74,26,16,1,3,0.453,0.556,11,8,19,149,5,18,2.0,14,69,0.9324324324324325,WAS,SG
Saben Lee,71,31,30,3,7,0.364,0.744,2,8,24,185,29,18,3.75,13,42,0.5915492957746479,PHO,PG
Leaky Black,69,48,24,11,8,0.481,0.667,9,6,26,284,10,16,4.0,19,59,0.855072463768116,CHA,"PF,SF"
Brandon Clarke,68,32,9,6,5,0.559,0.143,1,3,6,134,1,32,3.0,8,67,0.9852941176470589,MEM,"C,PF"
Markieff Morris,66,39,16,3,5,0.338,0.833,15,12,26,216,5,8,1.33,12,61,0.9242424242424242,DAL,PF
Colby Jones,64,40,20,5,7,0.394,0.546,2,10,30,192,6,26,2.0,29,58,0.90625,SAC,"SF,SG"
Charles Bassey,63,76,21,17,8,0.725,0.833,0,15,19,205,5,29,1.4,31,58,0.9206349206349206,SAS,C
Nate Williams,63,23,7,1,4,0.54,0.539,2,4,22,129,7,25,1.75,10,56,0.8888888888888888,HOU,"PG,SG"
Justin Minaya,61,56,21,10,9,0.297,0.556,12,9,34,381,5,10,2.33,35,56,0.9180327868852459,POR,SF
Harry Giles III,56,30,6,3,2,0.46,0.539,3,6,23,100,7,20,1.0,15,49,0.875,LAL,"PF,C"
Brandon Williams,54,13,17,1,1,0.37,0.647,3,7,17,113,11,17,2.43,4,43,0.7962962962962963,DAL,PG
Micah Potter,53,43,6,6,4,0.475,0.75,9,5,16,186,6,10,1.2,14,47,0.8867924528301887,UTH,"C,PF"
Terquavion Smith,52,4,12,0,8,0.391,0.6,13,7,16,84,3,5,1.71,8,49,0.9423076923076923,PHI,PG
P.J. Tucker,52,85,16,7,16,0.36,1.0,13,8,31,486,3,5,2.0,54,49,0.9423076923076923,LAC,"PF,SF"
Jeff Dowtin Jr.,52,20,27,1,7,0.556,0.75,9,5,12,142,3,11,5.4,1,49,0.9423076923076923,PHI,PG
Josh Minott,50,17,8,4,5,0.472,0.857,4,2,32,91,12,13,4.0,10,38,0.76,MIN,"PF,SF,SG"
Darius Bazley,48,28,7,7,6,0.6,0.833,2,8,9,152,10,16,0.88,3,38,0.7916666666666666,UTH,"C,PF,SF"
AJ Griffin,48,18,5,2,1,0.29,1.0,10,8,20,171,2,8,0.63,6,46,0.9583333333333334,ATL,"SF,SG"
Jahmi'us Ramsey,47,22,8,0,7,0.439,0.833,6,7,7,121,5,12,1.14,10,42,0.8936170212765957,TOR,"SG,PG"
